api-1  | INFO:     cache=HIT handler_ms=1.191
api-1  | INFO:     cache=HIT handler_ms=0.821
api-1  | INFO:     cache=HIT handler_ms=0.896
api-1  | INFO:     cache=MISS handler_ms=4.463
api-1  | INFO:     cache=HIT handler_ms=0.799
api-1  | INFO:     cache=HIT handler_ms=0.943
api-1  | INFO:     cache=HIT handler_ms=1.005
api-1  | INFO:     cache=MISS handler_ms=3.363
api-1  | INFO:     cache=HIT handler_ms=0.571
api-1  | INFO:     cache=HIT handler_ms=1.169
api-1  | INFO:     cache=HIT handler_ms=0.767
api-1  | INFO:     cache=MISS handler_ms=4.051
api-1  | INFO:     cache=HIT handler_ms=0.837
api-1  | INFO:     cache=HIT handler_ms=1.463
api-1  | INFO:     cache=HIT handler_ms=0.891
